time,t_wall,t_device_ns,x,y,z
0.000000,1775659130.112495,599616648059617824,-996,112,205
0.005000,1775659130.112495,599616648059617824,-995,114,204
0.010000,1775659130.112495,599616648059617824,-993,115,206
0.015000,1775659130.112495,599616648059617824,-994,115,197
0.020000,1775659130.112495,599616648059617824,-992,114,204
0.025000,1775659130.112495,599616648059617824,-990,114,200
0.030000,1775659130.112495,599616648059617824,-990,115,193
0.035000,1775659130.112495,599616648059617824,-990,114,197
0.040000,1775659130.112495,599616648059617824,-990,114,202
0.045000,1775659130.112495,599616648059617824,-992,114,201
0.050000,1775659130.112495,599616648059617824,-990,114,194
0.055000,1775659130.112495,599616648059617824,-989,114,200
0.060000,1775659130.112495,599616648059617824,-989,114,197
0.065000,1775659130.112495,599616648059617824,-986,114,201
0.070000,1775659130.112495,599616648059617824,-988,114,199
0.075000,1775659130.112495,599616648059617824,-990,115,199
0.080000,1775659130.112495,599616648059617824,-990,117,197
0.085000,1775659130.112495,599616648059617824,-990,114,194
0.090000,1775659130.112495,599616648059617824,-991,114,198
0.095000,1775659130.112495,599616648059617824,-992,114,205
0.100000,1775659130.112495,599616648059617824,-991,116,198
0.105000,1775659130.112495,599616648059617824,-992,113,198
0.110000,1775659130.112495,599616648059617824,-993,114,202
0.115000,1775659130.112495,599616648059617824,-991,115,201
0.120000,1775659130.112495,599616648059617824,-990,113,194
0.125000,1775659130.112495,599616648059617824,-992,116,197
0.130000,1775659130.112495,599616648059617824,-993,114,199
0.135000,1775659130.112495,599616648059617824,-990,115,199
0.140000,1775659130.112495,599616648059617824,-990,114,196
0.145000,1775659130.112495,599616648059617824,-988,114,196
0.150000,1775659130.112495,599616648059617824,-988,117,199
0.155000,1775659130.112495,599616648059617824,-992,116,191
0.160000,1775659130.112495,599616648059617824,-989,114,199
0.165000,1775659130.112495,599616648059617824,-990,114,202
0.170000,1775659130.112495,599616648059617824,-987,112,207
0.175000,1775659130.112495,599616648059617824,-990,114,206
0.176180,1775659130.247501,599616648235798232,-992,111,207
0.181180,1775659130.247501,599616648235798232,-990,114,199
0.186180,1775659130.247501,599616648235798232,-995,113,195
0.191180,1775659130.247501,599616648235798232,-996,115,198
0.196180,1775659130.247501,599616648235798232,-992,114,193
0.201180,1775659130.247501,599616648235798232,-994,115,188
0.206180,1775659130.247501,599616648235798232,-991,112,189
0.211180,1775659130.247501,599616648235798232,-987,111,190
0.216180,1775659130.247501,599616648235798232,-985,111,194
0.221180,1775659130.247501,599616648235798232,-987,114,194
0.226180,1775659130.247501,599616648235798232,-986,113,198
0.231180,1775659130.247501,599616648235798232,-988,114,198
0.236180,1775659130.247501,599616648235798232,-994,114,199
0.241180,1775659130.247501,599616648235798232,-994,114,202
0.246180,1775659130.247501,599616648235798232,-994,115,197
0.251180,1775659130.247501,599616648235798232,-996,117,198
0.256180,1775659130.247501,599616648235798232,-992,116,200
0.261180,1775659130.247501,599616648235798232,-996,116,200
0.266180,1775659130.247501,599616648235798232,-994,115,204
0.271180,1775659130.247501,599616648235798232,-996,114,200
0.276180,1775659130.247501,599616648235798232,-994,114,198
0.281180,1775659130.247501,599616648235798232,-994,114,202
0.286180,1775659130.247501,599616648235798232,-993,115,201
0.291180,1775659130.247501,599616648235798232,-993,113,201
0.296180,1775659130.247501,599616648235798232,-995,112,202
0.301180,1775659130.247501,599616648235798232,-994,115,200
0.306180,1775659130.247501,599616648235798232,-992,114,203
0.311180,1775659130.247501,599616648235798232,-993,112,201
0.316180,1775659130.247501,599616648235798232,-990,116,203
0.321180,1775659130.247501,599616648235798232,-992,115,202
0.326180,1775659130.247501,599616648235798232,-990,115,201
0.331180,1775659130.247501,599616648235798232,-990,116,205
0.336180,1775659130.247501,599616648235798232,-990,114,203
0.341180,1775659130.247501,599616648235798232,-989,114,201
0.346180,1775659130.247501,599616648235798232,-989,116,203
0.351180,1775659130.247501,599616648235798232,-987,115,199
0.352300,1775659130.427516,599616648411917590,-990,112,204
0.357300,1775659130.427516,599616648411917590,-992,116,199
0.362300,1775659130.427516,599616648411917590,-989,116,195
0.367300,1775659130.427516,599616648411917590,-991,115,207
0.372300,1775659130.427516,599616648411917590,-992,114,199
0.377300,1775659130.427516,599616648411917590,-994,113,194
0.382300,1775659130.427516,599616648411917590,-992,115,195
0.387300,1775659130.427516,599616648411917590,-992,116,192
0.392300,1775659130.427516,599616648411917590,-991,114,198
0.397300,1775659130.427516,599616648411917590,-992,118,193
0.402300,1775659130.427516,599616648411917590,-988,116,196
0.407300,1775659130.427516,599616648411917590,-992,117,197
0.412300,1775659130.427516,599616648411917590,-991,115,199
0.417300,1775659130.427516,599616648411917590,-993,115,195
0.422300,1775659130.427516,599616648411917590,-989,115,195
0.427300,1775659130.427516,599616648411917590,-990,115,195
0.432300,1775659130.427516,599616648411917590,-991,115,201
0.437300,1775659130.427516,599616648411917590,-991,114,198
0.442300,1775659130.427516,599616648411917590,-991,117,201
0.447300,1775659130.427516,599616648411917590,-991,114,203
0.452300,1775659130.427516,599616648411917590,-991,115,206
0.457300,1775659130.427516,599616648411917590,-993,114,199
0.462300,1775659130.427516,599616648411917590,-990,114,200
0.467300,1775659130.427516,599616648411917590,-988,114,199
0.472300,1775659130.427516,599616648411917590,-990,115,204
0.477300,1775659130.427516,599616648411917590,-985,114,203
0.482300,1775659130.427516,599616648411917590,-987,114,202
0.487300,1775659130.427516,599616648411917590,-990,115,206
0.492300,1775659130.427516,599616648411917590,-989,115,201
0.497300,1775659130.427516,599616648411917590,-990,115,201
0.502300,1775659130.427516,599616648411917590,-989,115,200
0.507300,1775659130.427516,599616648411917590,-991,116,205
