time,t_wall,t_device_ns,x,y,z
0.000000,1775556859.208054,599616524173749960,-920,49,405
0.005000,1775556859.208054,599616524173749960,-922,44,404
0.010000,1775556859.208054,599616524173749960,-922,44,410
0.015000,1775556859.208054,599616524173749960,-925,43,411
0.020000,1775556859.208054,599616524173749960,-925,46,409
0.025000,1775556859.208054,599616524173749960,-924,48,412
0.030000,1775556859.208054,599616524173749960,-925,49,407
0.035000,1775556859.208054,599616524173749960,-924,47,407
0.040000,1775556859.208054,599616524173749960,-925,48,404
0.045000,1775556859.208054,599616524173749960,-922,47,403
0.050000,1775556859.208054,599616524173749960,-927,46,406
0.055000,1775556859.208054,599616524173749960,-923,45,407
0.060000,1775556859.208054,599616524173749960,-924,43,409
0.065000,1775556859.208054,599616524173749960,-925,43,407
0.070000,1775556859.208054,599616524173749960,-927,46,406
0.075000,1775556859.208054,599616524173749960,-927,44,404
0.080000,1775556859.208054,599616524173749960,-925,42,404
0.085000,1775556859.208054,599616524173749960,-925,43,406
0.090000,1775556859.208054,599616524173749960,-925,44,409
0.095000,1775556859.208054,599616524173749960,-921,44,402
0.100000,1775556859.208054,599616524173749960,-924,44,398
0.105000,1775556859.208054,599616524173749960,-923,42,399
0.110000,1775556859.208054,599616524173749960,-921,43,401
0.115000,1775556859.208054,599616524173749960,-919,44,405
0.120000,1775556859.208054,599616524173749960,-920,45,401
0.125000,1775556859.208054,599616524173749960,-920,46,408
0.130000,1775556859.208054,599616524173749960,-920,47,408
0.135000,1775556859.208054,599616524173749960,-921,50,411
0.140000,1775556859.208054,599616524173749960,-923,48,406
0.145000,1775556859.208054,599616524173749960,-922,47,406
0.150000,1775556859.208054,599616524173749960,-921,47,412
0.155000,1775556859.208054,599616524173749960,-921,50,409
0.160000,1775556859.208054,599616524173749960,-922,47,411
0.165000,1775556859.208054,599616524173749960,-921,48,408
0.170000,1775556859.208054,599616524173749960,-923,48,411
0.175000,1775556859.208054,599616524173749960,-922,46,407
0.176180,1775556859.387878,599616524349930384,-919,50,405
0.181180,1775556859.387878,599616524349930384,-926,48,406
0.186180,1775556859.387878,599616524349930384,-925,44,407
0.191180,1775556859.387878,599616524349930384,-923,45,408
0.196180,1775556859.387878,599616524349930384,-923,45,408
0.201180,1775556859.387878,599616524349930384,-924,47,407
0.206180,1775556859.387878,599616524349930384,-924,47,410
0.211180,1775556859.387878,599616524349930384,-924,44,411
0.216180,1775556859.387878,599616524349930384,-921,45,412
0.221180,1775556859.387878,599616524349930384,-922,50,412
0.226180,1775556859.387878,599616524349930384,-923,50,400
