time,t_wall,t_device_ns,x,y,z
0.000000,1775665502.792857,599616438449359356,-852,60,535
0.005000,1775665502.792857,599616438449359356,-847,56,533
0.010000,1775665502.792857,599616438449359356,-845,60,531
0.015000,1775665502.792857,599616438449359356,-846,57,531
0.020000,1775665502.792857,599616438449359356,-847,61,531
0.025000,1775665502.792857,599616438449359356,-848,59,531
0.030000,1775665502.792857,599616438449359356,-847,59,532
0.035000,1775665502.792857,599616438449359356,-847,58,534
0.040000,1775665502.792857,599616438449359356,-846,58,532
0.045000,1775665502.792857,599616438449359356,-844,60,531
0.050000,1775665502.792857,599616438449359356,-846,59,534
0.055000,1775665502.792857,599616438449359356,-845,56,534
0.060000,1775665502.792857,599616438449359356,-846,61,533
0.065000,1775665502.792857,599616438449359356,-846,58,532
0.070000,1775665502.792857,599616438449359356,-850,61,531
0.075000,1775665502.792857,599616438449359356,-844,61,533
0.080000,1775665502.792857,599616438449359356,-847,60,533
0.085000,1775665502.792857,599616438449359356,-848,58,532
0.090000,1775665502.792857,599616438449359356,-846,61,533
0.095000,1775665502.792857,599616438449359356,-849,60,534
0.100000,1775665502.792857,599616438449359356,-844,59,533
0.105000,1775665502.792857,599616438449359356,-850,60,534
0.110000,1775665502.792857,599616438449359356,-848,58,532
0.115000,1775665502.792857,599616438449359356,-846,61,536
0.120000,1775665502.792857,599616438449359356,-848,59,533
0.125000,1775665502.792857,599616438449359356,-847,60,533
0.130000,1775665502.792857,599616438449359356,-849,57,531
0.135000,1775665502.792857,599616438449359356,-845,56,532
0.140000,1775665502.792857,599616438449359356,-850,55,532
0.145000,1775665502.792857,599616438449359356,-846,60,534
0.150000,1775665502.792857,599616438449359356,-845,61,535
0.155000,1775665502.792857,599616438449359356,-844,57,535
0.160000,1775665502.792857,599616438449359356,-845,58,534
0.165000,1775665502.792857,599616438449359356,-845,60,533
0.170000,1775665502.792857,599616438449359356,-846,59,532
0.175000,1775665502.792857,599616438449359356,-845,60,534
0.176150,1775665502.929911,599616438625509252,-846,58,531
0.181150,1775665502.929911,599616438625509252,-846,57,533
0.186150,1775665502.929911,599616438625509252,-850,57,535
0.191150,1775665502.929911,599616438625509252,-851,56,534
0.196150,1775665502.929911,599616438625509252,-846,55,533
0.201150,1775665502.929911,599616438625509252,-847,60,531
0.206150,1775665502.929911,599616438625509252,-845,59,534
0.211150,1775665502.929911,599616438625509252,-844,59,531
0.216150,1775665502.929911,599616438625509252,-848,61,531
0.221150,1775665502.929911,599616438625509252,-845,59,531
0.226150,1775665502.929911,599616438625509252,-843,61,531
0.231150,1775665502.929911,599616438625509252,-844,60,534
0.236150,1775665502.929911,599616438625509252,-843,58,535
0.241150,1775665502.929911,599616438625509252,-844,58,533
0.246150,1775665502.929911,599616438625509252,-848,60,534
0.251150,1775665502.929911,599616438625509252,-849,59,535
0.256150,1775665502.929911,599616438625509252,-847,56,535
0.261150,1775665502.929911,599616438625509252,-847,60,536
0.266150,1775665502.929911,599616438625509252,-845,59,535
0.271150,1775665502.929911,599616438625509252,-846,56,532
0.276150,1775665502.929911,599616438625509252,-849,58,532
0.281150,1775665502.929911,599616438625509252,-846,56,536
0.286150,1775665502.929911,599616438625509252,-851,58,532
0.291150,1775665502.929911,599616438625509252,-849,58,534
0.296150,1775665502.929911,599616438625509252,-849,60,535
0.301150,1775665502.929911,599616438625509252,-847,60,531
0.306150,1775665502.929911,599616438625509252,-847,57,535
0.311150,1775665502.929911,599616438625509252,-845,60,533
0.316150,1775665502.929911,599616438625509252,-848,62,532
0.321150,1775665502.929911,599616438625509252,-847,59,531
0.326150,1775665502.929911,599616438625509252,-847,57,531
0.331150,1775665502.929911,599616438625509252,-846,56,531
0.336150,1775665502.929911,599616438625509252,-847,59,529
0.341150,1775665502.929911,599616438625509252,-851,57,528
0.346150,1775665502.929911,599616438625509252,-851,56,530
0.351150,1775665502.929911,599616438625509252,-850,57,531
0.352330,1775665503.155237,599616438801689676,-849,61,535
0.357330,1775665503.155237,599616438801689676,-846,57,535
0.362330,1775665503.155237,599616438801689676,-846,60,535
0.367330,1775665503.155237,599616438801689676,-843,58,536
0.372330,1775665503.155237,599616438801689676,-848,56,541
0.377330,1775665503.155237,599616438801689676,-846,57,536
0.382330,1775665503.155237,599616438801689676,-851,57,534
0.387330,1775665503.155237,599616438801689676,-847,58,533
0.392330,1775665503.155237,599616438801689676,-849,58,532
0.397330,1775665503.155237,599616438801689676,-845,57,532
0.402330,1775665503.155237,599616438801689676,-844,58,530
0.407330,1775665503.155237,599616438801689676,-842,56,530
0.412330,1775665503.155237,599616438801689676,-842,58,532
0.417330,1775665503.155237,599616438801689676,-845,58,536
0.422330,1775665503.155237,599616438801689676,-844,58,536
0.427330,1775665503.155237,599616438801689676,-844,57,539
0.432330,1775665503.155237,599616438801689676,-844,56,539
0.437330,1775665503.155237,599616438801689676,-844,57,537
0.442330,1775665503.155237,599616438801689676,-845,56,532
0.447330,1775665503.155237,599616438801689676,-847,52,532
0.452330,1775665503.155237,599616438801689676,-848,56,528
0.457330,1775665503.155237,599616438801689676,-847,57,528
0.462330,1775665503.155237,599616438801689676,-847,58,524
0.467330,1775665503.155237,599616438801689676,-846,58,524
0.472330,1775665503.155237,599616438801689676,-843,61,526
0.477330,1775665503.155237,599616438801689676,-842,61,528
0.482330,1775665503.155237,599616438801689676,-841,58,534
0.487330,1775665503.155237,599616438801689676,-841,60,534
0.492330,1775665503.155237,599616438801689676,-843,62,534
0.497330,1775665503.155237,599616438801689676,-841,60,534
0.502330,1775665503.155237,599616438801689676,-846,57,536
0.507330,1775665503.155237,599616438801689676,-849,59,539
0.512330,1775665503.155237,599616438801689676,-847,57,536
0.517330,1775665503.155237,599616438801689676,-852,58,536
0.522330,1775665503.155237,599616438801689676,-853,59,536
0.527330,1775665503.155237,599616438801689676,-853,56,538
0.528572,1775665503.289970,599616438977931110,-850,56,533
0.533572,1775665503.289970,599616438977931110,-851,58,534
0.538572,1775665503.289970,599616438977931110,-847,55,533
0.543572,1775665503.289970,599616438977931110,-848,56,534
0.548572,1775665503.289970,599616438977931110,-847,58,535
0.553572,1775665503.289970,599616438977931110,-845,56,536
0.558572,1775665503.289970,599616438977931110,-846,58,533
0.563572,1775665503.289970,599616438977931110,-843,58,532
0.568572,1775665503.289970,599616438977931110,-841,62,532
0.573572,1775665503.289970,599616438977931110,-841,61,532
0.578572,1775665503.289970,599616438977931110,-840,58,532
0.583572,1775665503.289970,599616438977931110,-842,58,532
0.588572,1775665503.289970,599616438977931110,-842,60,533
0.593572,1775665503.289970,599616438977931110,-843,58,533
0.598572,1775665503.289970,599616438977931110,-845,58,533
0.603572,1775665503.289970,599616438977931110,-844,55,535
0.608572,1775665503.289970,599616438977931110,-846,58,532
0.613572,1775665503.289970,599616438977931110,-844,57,533
0.618572,1775665503.289970,599616438977931110,-846,56,531
0.623572,1775665503.289970,599616438977931110,-847,55,533
0.628572,1775665503.289970,599616438977931110,-845,56,534
0.633572,1775665503.289970,599616438977931110,-848,58,533
0.638572,1775665503.289970,599616438977931110,-845,54,532
0.643572,1775665503.289970,599616438977931110,-845,54,533
0.648572,1775665503.289970,599616438977931110,-844,55,536
0.653572,1775665503.289970,599616438977931110,-845,57,535
0.658572,1775665503.289970,599616438977931110,-845,59,536
0.663572,1775665503.289970,599616438977931110,-844,58,535
0.668572,1775665503.289970,599616438977931110,-844,59,536
0.673572,1775665503.289970,599616438977931110,-849,58,534
0.678572,1775665503.289970,599616438977931110,-844,54,533
0.683572,1775665503.289970,599616438977931110,-847,57,538
0.688572,1775665503.289970,599616438977931110,-847,57,537
0.693572,1775665503.289970,599616438977931110,-850,57,537
0.698572,1775665503.289970,599616438977931110,-848,59,536
0.703572,1775665503.289970,599616438977931110,-849,60,534
0.704783,1775665503.469995,599616439154142068,-855,60,533
0.709783,1775665503.469995,599616439154142068,-851,57,532
0.714783,1775665503.469995,599616439154142068,-852,58,532
0.719783,1775665503.469995,599616439154142068,-853,54,530
0.724783,1775665503.469995,599616439154142068,-850,52,529
0.729783,1775665503.469995,599616439154142068,-847,48,535
0.734783,1775665503.469995,599616439154142068,-845,53,529
0.739783,1775665503.469995,599616439154142068,-843,54,531
0.744783,1775665503.469995,599616439154142068,-843,53,530
0.749783,1775665503.469995,599616439154142068,-845,59,529
0.754783,1775665503.469995,599616439154142068,-845,61,533
0.759783,1775665503.469995,599616439154142068,-846,58,531
0.764783,1775665503.469995,599616439154142068,-846,58,534
0.769783,1775665503.469995,599616439154142068,-848,58,533
0.774783,1775665503.469995,599616439154142068,-844,59,530
0.779783,1775665503.469995,599616439154142068,-847,59,532
0.784783,1775665503.469995,599616439154142068,-846,61,533
0.789783,1775665503.469995,599616439154142068,-848,61,533
0.794783,1775665503.469995,599616439154142068,-849,59,530
0.799783,1775665503.469995,599616439154142068,-849,58,533
0.804783,1775665503.469995,599616439154142068,-851,58,531
0.809783,1775665503.469995,599616439154142068,-850,60,531
0.814783,1775665503.469995,599616439154142068,-852,56,534
0.819783,1775665503.469995,599616439154142068,-852,57,535
0.824783,1775665503.469995,599616439154142068,-849,56,532
0.829783,1775665503.469995,599616439154142068,-850,58,534
0.834783,1775665503.469995,599616439154142068,-853,59,536
0.839783,1775665503.469995,599616439154142068,-850,60,535
0.844783,1775665503.469995,599616439154142068,-849,57,533
0.849783,1775665503.469995,599616439154142068,-851,59,537
0.854783,1775665503.469995,599616439154142068,-849,61,535
0.859783,1775665503.469995,599616439154142068,-853,56,536
0.864783,1775665503.469995,599616439154142068,-852,60,535
0.869783,1775665503.469995,599616439154142068,-851,59,532
0.874783,1775665503.469995,599616439154142068,-853,58,535
0.879783,1775665503.469995,599616439154142068,-852,57,533
0.881055,1775665503.648922,599616439330414020,-853,60,533
0.886055,1775665503.648922,599616439330414020,-850,60,531
