time,t_wall,t_device_ns,x,y,z
0.000000,1775806499.686395,599619640361755542,-949,80,314
0.005000,1775806499.686395,599619640361755542,-952,89,313
0.010000,1775806499.686395,599619640361755542,-952,84,312
0.015000,1775806499.686395,599619640361755542,-951,84,313
0.020000,1775806499.686395,599619640361755542,-954,83,313
0.025000,1775806499.686395,599619640361755542,-953,84,312
0.030000,1775806499.686395,599619640361755542,-954,86,308
0.035000,1775806499.686395,599619640361755542,-954,83,309
0.040000,1775806499.686395,599619640361755542,-954,84,309
0.045000,1775806499.686395,599619640361755542,-953,87,311
0.050000,1775806499.686395,599619640361755542,-953,83,311
0.055000,1775806499.686395,599619640361755542,-951,84,307
0.060000,1775806499.686395,599619640361755542,-954,81,311
0.065000,1775806499.686395,599619640361755542,-950,83,314
0.070000,1775806499.686395,599619640361755542,-949,85,312
0.075000,1775806499.686395,599619640361755542,-952,85,311
0.080000,1775806499.686395,599619640361755542,-949,85,314
0.085000,1775806499.686395,599619640361755542,-955,83,307
0.090000,1775806499.686395,599619640361755542,-955,85,314
0.095000,1775806499.686395,599619640361755542,-950,81,312
0.100000,1775806499.686395,599619640361755542,-951,82,316
0.105000,1775806499.686395,599619640361755542,-951,87,311
0.110000,1775806499.686395,599619640361755542,-954,86,311
0.115000,1775806499.686395,599619640361755542,-952,82,309
0.120000,1775806499.686395,599619640361755542,-951,81,312
0.125000,1775806499.686395,599619640361755542,-954,85,311
0.130000,1775806499.686395,599619640361755542,-950,83,309
0.135000,1775806499.686395,599619640361755542,-952,83,308
0.140000,1775806499.686395,599619640361755542,-952,84,307
0.145000,1775806499.686395,599619640361755542,-950,81,315
0.150000,1775806499.686395,599619640361755542,-950,84,312
0.155000,1775806499.686395,599619640361755542,-948,83,315
0.160000,1775806499.686395,599619640361755542,-953,80,315
0.165000,1775806499.686395,599619640361755542,-951,82,317
0.170000,1775806499.686395,599619640361755542,-951,79,321
0.175000,1775806499.686395,599619640361755542,-949,79,318
0.176119,1775806499.823265,599619640537874894,-951,83,315
0.181119,1775806499.823265,599619640537874894,-949,83,313
0.186119,1775806499.823265,599619640537874894,-948,85,311
0.191119,1775806499.823265,599619640537874894,-949,85,316
0.196119,1775806499.823265,599619640537874894,-950,84,315
0.201119,1775806499.823265,599619640537874894,-955,79,316
0.206119,1775806499.823265,599619640537874894,-955,82,315
0.211119,1775806499.823265,599619640537874894,-954,82,313
0.216119,1775806499.823265,599619640537874894,-952,81,311
0.221119,1775806499.823265,599619640537874894,-955,83,313
0.226119,1775806499.823265,599619640537874894,-952,85,309
0.231119,1775806499.823265,599619640537874894,-957,83,308
0.236119,1775806499.823265,599619640537874894,-952,83,311
0.241119,1775806499.823265,599619640537874894,-955,81,316
0.246119,1775806499.823265,599619640537874894,-952,72,321
0.251119,1775806499.823265,599619640537874894,-954,77,317
0.256119,1775806499.823265,599619640537874894,-955,84,316
0.261119,1775806499.823265,599619640537874894,-955,84,315
0.266119,1775806499.823265,599619640537874894,-952,86,312
0.271119,1775806499.823265,599619640537874894,-951,88,313
0.276119,1775806499.823265,599619640537874894,-954,88,315
0.281119,1775806499.823265,599619640537874894,-954,87,313
0.286119,1775806499.823265,599619640537874894,-952,82,312
0.291119,1775806499.823265,599619640537874894,-956,84,319
0.296119,1775806499.823265,599619640537874894,-952,82,312
0.301119,1775806499.823265,599619640537874894,-956,85,311
0.306119,1775806499.823265,599619640537874894,-949,82,312
0.311119,1775806499.823265,599619640537874894,-951,82,312
0.316119,1775806499.823265,599619640537874894,-952,86,312
0.321119,1775806499.823265,599619640537874894,-951,85,311
0.326119,1775806499.823265,599619640537874894,-948,86,310
0.331119,1775806499.823265,599619640537874894,-953,83,308
0.336119,1775806499.823265,599619640537874894,-950,82,310
0.341119,1775806499.823265,599619640537874894,-952,87,310
0.346119,1775806499.823265,599619640537874894,-955,84,312
0.351119,1775806499.823265,599619640537874894,-952,84,309
