time,t_wall,t_device_ns,x,y,z
0.000000,1776080966.154351,599616058888692460,-30,-342,-978
0.005000,1776080966.154351,599616058888692460,-28,-340,-975
0.010000,1776080966.154351,599616058888692460,-28,-339,-973
0.015000,1776080966.154351,599616058888692460,-29,-336,-976
0.020000,1776080966.154351,599616058888692460,-28,-332,-975
0.025000,1776080966.154351,599616058888692460,-28,-331,-978
0.030000,1776080966.154351,599616058888692460,-29,-331,-981
0.035000,1776080966.154351,599616058888692460,-29,-334,-980
0.040000,1776080966.154351,599616058888692460,-30,-338,-982
0.045000,1776080966.154351,599616058888692460,-32,-334,-980
0.050000,1776080966.154351,599616058888692460,-33,-329,-974
0.055000,1776080966.154351,599616058888692460,-32,-331,-974
0.060000,1776080966.154351,599616058888692460,-35,-340,-974
0.065000,1776080966.154351,599616058888692460,-36,-338,-980
0.070000,1776080966.154351,599616058888692460,-34,-336,-978
0.075000,1776080966.154351,599616058888692460,-36,-334,-980
0.080000,1776080966.154351,599616058888692460,-35,-337,-976
0.085000,1776080966.154351,599616058888692460,-33,-334,-977
0.090000,1776080966.154351,599616058888692460,-32,-336,-979
0.095000,1776080966.154351,599616058888692460,-32,-333,-986
0.100000,1776080966.154351,599616058888692460,-31,-328,-984
0.105000,1776080966.154351,599616058888692460,-30,-334,-980
0.110000,1776080966.154351,599616058888692460,-30,-335,-980
0.115000,1776080966.154351,599616058888692460,-28,-338,-980
0.120000,1776080966.154351,599616058888692460,-34,-341,-979
0.125000,1776080966.154351,599616058888692460,-31,-332,-973
0.130000,1776080966.154351,599616058888692460,-28,-326,-996
0.135000,1776080966.154351,599616058888692460,-31,-317,-997
0.140000,1776080966.154351,599616058888692460,-18,-326,-975
0.145000,1776080966.154351,599616058888692460,-16,-342,-972
0.150000,1776080966.154351,599616058888692460,-25,-332,-983
0.155000,1776080966.154351,599616058888692460,-20,-341,-969
0.160000,1776080966.154351,599616058888692460,-24,-351,-957
0.165000,1776080966.154351,599616058888692460,-38,-361,-958
0.170000,1776080966.154351,599616058888692460,-33,-339,-972
0.175000,1776080966.154351,599616058888692460,-29,-330,-996
0.176119,1776080966.288452,599616059064811828,-24,-328,-1006
0.181119,1776080966.288452,599616059064811828,-25,-330,-1002
0.186119,1776080966.288452,599616059064811828,-24,-339,-1001
0.191119,1776080966.288452,599616059064811828,-26,-341,-991
0.196119,1776080966.288452,599616059064811828,-30,-348,-980
0.201119,1776080966.288452,599616059064811828,-36,-349,-973
0.206119,1776080966.288452,599616059064811828,-40,-344,-973
0.211119,1776080966.288452,599616059064811828,-41,-338,-976
0.216119,1776080966.288452,599616059064811828,-35,-335,-983
0.221119,1776080966.288452,599616059064811828,-32,-337,-987
0.226119,1776080966.288452,599616059064811828,-32,-339,-978
0.231119,1776080966.288452,599616059064811828,-31,-342,-977
0.236119,1776080966.288452,599616059064811828,-33,-351,-972
0.241119,1776080966.288452,599616059064811828,-35,-346,-973
0.246119,1776080966.288452,599616059064811828,-33,-342,-975
0.251119,1776080966.288452,599616059064811828,-37,-342,-975
0.256119,1776080966.288452,599616059064811828,-33,-340,-980
0.261119,1776080966.288452,599616059064811828,-31,-336,-980
0.266119,1776080966.288452,599616059064811828,-28,-335,-977
0.271119,1776080966.288452,599616059064811828,-30,-339,-970
0.276119,1776080966.288452,599616059064811828,-30,-336,-969
0.281119,1776080966.288452,599616059064811828,-29,-339,-977
0.286119,1776080966.288452,599616059064811828,-27,-334,-976
0.291119,1776080966.288452,599616059064811828,-28,-330,-978
0.296119,1776080966.288452,599616059064811828,-27,-334,-980
0.301119,1776080966.288452,599616059064811828,-26,-331,-982
0.306119,1776080966.288452,599616059064811828,-26,-334,-983
0.311119,1776080966.288452,599616059064811828,-28,-337,-981
0.316119,1776080966.288452,599616059064811828,-27,-336,-979
0.321119,1776080966.288452,599616059064811828,-21,-341,-977
0.326119,1776080966.288452,599616059064811828,-43,-357,-1006
0.331119,1776080966.288452,599616059064811828,-66,-343,-964
0.336119,1776080966.288452,599616059064811828,-25,-307,-988
0.341119,1776080966.288452,599616059064811828,-27,-300,-1021
0.346119,1776080966.288452,599616059064811828,-29,-319,-982
0.351119,1776080966.288452,599616059064811828,-24,-337,-960
0.352239,1776080966.469418,599616059240931206,-32,-336,-972
0.357239,1776080966.469418,599616059240931206,-23,-342,-982
0.362239,1776080966.469418,599616059240931206,-23,-339,-976
0.367239,1776080966.469418,599616059240931206,-26,-344,-982
0.372239,1776080966.469418,599616059240931206,-30,-343,-985
0.377239,1776080966.469418,599616059240931206,-28,-337,-988
0.382239,1776080966.469418,599616059240931206,-28,-340,-984
0.387239,1776080966.469418,599616059240931206,-30,-334,-974
0.392239,1776080966.469418,599616059240931206,-28,-337,-966
0.397239,1776080966.469418,599616059240931206,-28,-340,-968
0.402239,1776080966.469418,599616059240931206,-28,-342,-980
0.407239,1776080966.469418,599616059240931206,-28,-345,-978
0.412239,1776080966.469418,599616059240931206,-30,-342,-985
0.417239,1776080966.469418,599616059240931206,-31,-335,-984
0.422239,1776080966.469418,599616059240931206,-30,-331,-982
0.427239,1776080966.469418,599616059240931206,-28,-330,-978
0.432239,1776080966.469418,599616059240931206,-26,-328,-971
0.437239,1776080966.469418,599616059240931206,-26,-331,-974
0.442239,1776080966.469418,599616059240931206,-26,-327,-975
0.447239,1776080966.469418,599616059240931206,-30,-328,-980
0.452239,1776080966.469418,599616059240931206,-31,-330,-985
0.457239,1776080966.469418,599616059240931206,-32,-335,-985
0.462239,1776080966.469418,599616059240931206,-31,-332,-988
0.467239,1776080966.469418,599616059240931206,-32,-335,-985
0.472239,1776080966.469418,599616059240931206,-30,-333,-984
0.477239,1776080966.469418,599616059240931206,-32,-339,-980
0.482239,1776080966.469418,599616059240931206,-30,-339,-977
0.487239,1776080966.469418,599616059240931206,-29,-344,-977
0.492239,1776080966.469418,599616059240931206,-28,-343,-974
0.497239,1776080966.469418,599616059240931206,-28,-339,-972
0.502239,1776080966.469418,599616059240931206,-27,-338,-980
0.507239,1776080966.469418,599616059240931206,-27,-339,-979
0.512239,1776080966.469418,599616059240931206,-26,-340,-983
0.517239,1776080966.469418,599616059240931206,-26,-338,-984
0.522239,1776080966.469418,599616059240931206,-27,-340,-981
0.527239,1776080966.469418,599616059240931206,-28,-341,-976
0.528328,1776080966.737084,599616059417020092,-31,-341,-982
0.533328,1776080966.737084,599616059417020092,-31,-336,-983
0.538328,1776080966.737084,599616059417020092,-30,-337,-979
0.543328,1776080966.737084,599616059417020092,-30,-332,-975
0.548328,1776080966.737084,599616059417020092,-31,-329,-976
0.553328,1776080966.737084,599616059417020092,-29,-336,-974
0.558328,1776080966.737084,599616059417020092,-29,-335,-972
0.563328,1776080966.737084,599616059417020092,-32,-336,-976
0.568328,1776080966.737084,599616059417020092,-33,-336,-984
0.573328,1776080966.737084,599616059417020092,-38,-335,-990
0.578328,1776080966.737084,599616059417020092,-38,-337,-992
0.583328,1776080966.737084,599616059417020092,-35,-333,-988
0.588328,1776080966.737084,599616059417020092,-35,-332,-982
0.593328,1776080966.737084,599616059417020092,-35,-330,-974
0.598328,1776080966.737084,599616059417020092,-30,-329,-986
0.603328,1776080966.737084,599616059417020092,-31,-319,-995
0.608328,1776080966.737084,599616059417020092,-22,-330,-984
0.613328,1776080966.737084,599616059417020092,-16,-343,-968
0.618327,1776080966.737084,599616059417020092,-29,-340,-982
0.623327,1776080966.737084,599616059417020092,-30,-346,-972
0.628327,1776080966.737084,599616059417020092,-28,-360,-955
0.633327,1776080966.737084,599616059417020092,-36,-366,-958
0.638327,1776080966.737084,599616059417020092,-38,-352,-961
0.643328,1776080966.737084,599616059417020092,-29,-332,-975
0.648328,1776080966.737084,599616059417020092,-21,-320,-995
0.653328,1776080966.737084,599616059417020092,-18,-323,-999
0.658328,1776080966.737084,599616059417020092,-18,-332,-993
0.663328,1776080966.737084,599616059417020092,-23,-340,-987
0.668328,1776080966.737084,599616059417020092,-27,-347,-986
0.673328,1776080966.737084,599616059417020092,-37,-354,-974
0.678328,1776080966.737084,599616059417020092,-43,-354,-978
0.683328,1776080966.737084,599616059417020092,-46,-346,-980
0.688328,1776080966.737084,599616059417020092,-44,-343,-981
0.693328,1776080966.737084,599616059417020092,-41,-335,-987
0.698328,1776080966.737084,599616059417020092,-39,-332,-982
0.703328,1776080966.737084,599616059417020092,-36,-333,-982
0.704447,1776080966.827860,599616059593139444,-34,-338,-982
0.709447,1776080966.827860,599616059593139444,-36,-345,-975
0.714447,1776080966.827860,599616059593139444,-34,-344,-979
0.719447,1776080966.827860,599616059593139444,-34,-338,-976
0.724447,1776080966.827860,599616059593139444,-32,-348,-982
0.729447,1776080966.827860,599616059593139444,-30,-341,-972
0.734447,1776080966.827860,599616059593139444,-31,-347,-969
0.739447,1776080966.827860,599616059593139444,-28,-339,-970
0.744447,1776080966.827860,599616059593139444,-28,-337,-978
0.749447,1776080966.827860,599616059593139444,-26,-336,-977
0.754447,1776080966.827860,599616059593139444,-28,-335,-976
0.759447,1776080966.827860,599616059593139444,-27,-334,-978
0.764447,1776080966.827860,599616059593139444,-27,-341,-975
0.769447,1776080966.827860,599616059593139444,-30,-338,-978
0.774447,1776080966.827860,599616059593139444,-29,-333,-982
0.779447,1776080966.827860,599616059593139444,-31,-338,-983
0.784447,1776080966.827860,599616059593139444,-28,-339,-979
0.789447,1776080966.827860,599616059593139444,-25,-344,-973
0.794447,1776080966.827860,599616059593139444,-49,-355,-1006
0.799447,1776080966.827860,599616059593139444,-78,-341,-972
0.804447,1776080966.827860,599616059593139444,-32,-300,-998
0.809447,1776080966.827860,599616059593139444,-27,-301,-1025
0.814447,1776080966.827860,599616059593139444,-26,-328,-984
0.819447,1776080966.827860,599616059593139444,-26,-346,-974
0.824447,1776080966.827860,599616059593139444,-26,-350,-967
0.829447,1776080966.827860,599616059593139444,-21,-345,-977
0.834447,1776080966.827860,599616059593139444,-23,-334,-981
0.839447,1776080966.827860,599616059593139444,-25,-336,-974
0.844447,1776080966.827860,599616059593139444,-27,-330,-976
0.849447,1776080966.827860,599616059593139444,-29,-333,-975
0.854447,1776080966.827860,599616059593139444,-28,-332,-978
0.859447,1776080966.827860,599616059593139444,-34,-340,-973
0.864447,1776080966.827860,599616059593139444,-34,-337,-969
0.869447,1776080966.827860,599616059593139444,-36,-349,-962
0.874447,1776080966.827860,599616059593139444,-33,-347,-971
0.879447,1776080966.827860,599616059593139444,-35,-342,-982
0.880536,1776080967.054524,599616059769228330,-36,-338,-985
0.885536,1776080967.054524,599616059769228330,-34,-333,-990
0.890536,1776080967.054524,599616059769228330,-36,-335,-988
0.895536,1776080967.054524,599616059769228330,-33,-334,-986
0.900536,1776080967.054524,599616059769228330,-31,-337,-981
0.905536,1776080967.054524,599616059769228330,-31,-333,-980
0.910536,1776080967.054524,599616059769228330,-34,-337,-978
0.915536,1776080967.054524,599616059769228330,-37,-338,-978
0.920536,1776080967.054524,599616059769228330,-34,-338,-975
0.925536,1776080967.054524,599616059769228330,-33,-342,-976
0.930536,1776080967.054524,599616059769228330,-32,-338,-985
0.935536,1776080967.054524,599616059769228330,-32,-339,-984
0.940536,1776080967.054524,599616059769228330,-33,-339,-982
0.945536,1776080967.054524,599616059769228330,-29,-342,-975
0.950536,1776080967.054524,599616059769228330,-29,-339,-977
0.955536,1776080967.054524,599616059769228330,-28,-339,-980
0.960536,1776080967.054524,599616059769228330,-30,-341,-982
0.965536,1776080967.054524,599616059769228330,-30,-337,-974
0.970536,1776080967.054524,599616059769228330,-30,-331,-980
0.975536,1776080967.054524,599616059769228330,-32,-328,-979
0.980536,1776080967.054524,599616059769228330,-31,-327,-983
