time,t_wall,t_device_ns,ecg
0.000000,1775665782.474847,599616718117201488,-106
0.007692,1775665782.474847,599616718117201488,31743
0.015385,1775665782.474847,599616718117201488,-1
0.023077,1775665782.474847,599616718117201488,-112
0.030769,1775665782.474847,599616718117201488,-24577
0.038461,1775665782.474847,599616718117201488,-1
0.046154,1775665782.474847,599616718117201488,-101
0.053846,1775665782.474847,599616718117201488,-27393
0.061538,1775665782.474847,599616718117201488,-1
0.069231,1775665782.474847,599616718117201488,-110
0.076923,1775665782.474847,599616718117201488,-27393
0.084615,1775665782.474847,599616718117201488,-1
0.092308,1775665782.474847,599616718117201488,-103
0.100000,1775665782.474847,599616718117201488,-22273
0.107692,1775665782.474847,599616718117201488,-1
0.115385,1775665782.474847,599616718117201488,-47
0.123077,1775665782.474847,599616718117201488,-4353
0.130769,1775665782.474847,599616718117201488,-1
0.138461,1775665782.474847,599616718117201488,-36
0.146154,1775665782.474847,599616718117201488,-16897
0.153846,1775665782.474847,599616718117201488,-1
0.161538,1775665782.474847,599616718117201488,-63
0.169231,1775665782.474847,599616718117201488,-9985
0.176923,1775665782.474847,599616718117201488,-1
0.184615,1775665782.474847,599616718117201488,-31
0.192308,1775665782.474847,599616718117201488,-8193
0.200000,1775665782.474847,599616718117201488,-1
0.207692,1775665782.474847,599616718117201488,-49
0.215385,1775665782.474847,599616718117201488,-14593
0.223077,1775665782.474847,599616718117201488,-1
0.230769,1775665782.474847,599616718117201488,-58
0.238461,1775665782.474847,599616718117201488,-18177
0.246154,1775665782.474847,599616718117201488,-1
0.253846,1775665782.474847,599616718117201488,-81
0.261538,1775665782.474847,599616718117201488,-16897
0.269231,1775665782.474847,599616718117201488,-1
0.276923,1775665782.474847,599616718117201488,-54
0.284615,1775665782.474847,599616718117201488,-15105
0.292308,1775665782.474847,599616718117201488,-1
0.300000,1775665782.474847,599616718117201488,-58
0.307692,1775665782.474847,599616718117201488,-12289
0.315385,1775665782.474847,599616718117201488,-1
0.323077,1775665782.474847,599616718117201488,-56
0.330769,1775665782.474847,599616718117201488,-20993
0.338462,1775665782.474847,599616718117201488,-1
0.346154,1775665782.474847,599616718117201488,-110
0.353846,1775665782.474847,599616718117201488,-25601
0.361538,1775665782.474847,599616718117201488,-1
0.369231,1775665782.474847,599616718117201488,0
0.376923,1775665782.474847,599616718117201488,4352
0.384615,1775665782.474847,599616718117201488,1
0.392308,1775665782.474847,599616718117201488,562
0.400000,1775665782.474847,599616718117201488,-28416
0.407692,1775665782.474847,599616718117201488,1
0.415385,1775665782.474847,599616718117201488,-243
0.423077,1775665782.474847,599616718117201488,-29185
0.430769,1775665782.474847,599616718117201488,-3
0.438462,1775665782.474847,599616718117201488,-377
0.446154,1775665782.474847,599616718117201488,-21505
0.453846,1775665782.474847,599616718117201488,-1
0.461538,1775665782.474847,599616718117201488,-110
0.469231,1775665782.474847,599616718117201488,29439
0.476923,1775665782.474847,599616718117201488,-1
0.484615,1775665782.474847,599616718117201488,-79
0.492308,1775665782.474847,599616718117201488,-9985
0.500000,1775665782.474847,599616718117201488,-1
0.507692,1775665782.474847,599616718117201488,-20
0.515385,1775665782.474847,599616718117201488,-257
0.523077,1775665782.474847,599616718117201488,-1
0.530769,1775665782.474847,599616718117201488,-13
0.538461,1775665782.474847,599616718117201488,-8193
0.546154,1775665782.474847,599616718117201488,-1
0.553846,1775665782.474847,599616718117201488,-54
0.561538,1775665782.474847,599616718117201488,-16897
0.569231,1775665782.474847,599616718117201488,-1
0.576923,1775665782.474847,599616718117201488,-54
0.584615,1775665782.474847,599616718117201488,-769
0.592308,1775665782.474847,599616718117201488,-1
0.600000,1775665782.474847,599616718117201488,33
0.607692,1775665782.474847,599616718117201488,5120
0.615385,1775665782.474847,599616718117201488,0
0.623077,1775665782.474847,599616718117201488,9
0.630769,1775665782.474847,599616718117201488,9216
0.638461,1775665782.474847,599616718117201488,0
0.646154,1775665782.474847,599616718117201488,42
0.653846,1775665782.474847,599616718117201488,7424
0.661538,1775665782.474847,599616718117201488,0
0.669231,1775665782.474847,599616718117201488,42
0.676923,1775665782.474847,599616718117201488,15360
0.684615,1775665782.474847,599616718117201488,0
0.692308,1775665782.474847,599616718117201488,63
0.700000,1775665782.474847,599616718117201488,18944
0.707692,1775665782.474847,599616718117201488,0
0.715385,1775665782.474847,599616718117201488,90
0.723077,1775665782.474847,599616718117201488,21760
0.730769,1775665782.474847,599616718117201488,0
0.738461,1775665782.474847,599616718117201488,94
0.746154,1775665782.474847,599616718117201488,-30976
0.753846,1775665782.474847,599616718117201488,0
0.761538,1775665782.474847,599616718117201488,164
0.769231,1775665782.474847,599616718117201488,-26880
0.776923,1775665782.474847,599616718117201488,0
0.784615,1775665782.474847,599616718117201488,137
0.792308,1775665782.474847,599616718117201488,-29696
0.800000,1775665782.474847,599616718117201488,0
0.807692,1775665782.474847,599616718117201488,106
0.815385,1775665782.474847,599616718117201488,13824
0.823077,1775665782.474847,599616718117201488,0
0.830769,1775665782.474847,599616718117201488,27
