time,t_wall,t_device_ns,ecg
0.000000,1775665503.291790,599616438952514732,4268
0.007692,1775665503.291790,599616438952514732,5888
0.015385,1775665503.291790,599616438952514732,16
0.023077,1775665503.291790,599616438952514732,3992
0.030769,1775665503.291790,599616438952514732,13056
0.038461,1775665503.291790,599616438952514732,15
0.046154,1775665503.291790,599616438952514732,3753
0.053846,1775665503.291790,599616438952514732,2048
0.061538,1775665503.291790,599616438952514732,14
0.069231,1775665503.291790,599616438952514732,3428
0.076923,1775665503.291790,599616438952514732,-13824
0.084615,1775665503.291790,599616438952514732,12
0.092308,1775665503.291790,599616438952514732,3148
0.100000,1775665503.291790,599616438952514732,-11776
0.107692,1775665503.291790,599616438952514732,11
0.115385,1775665503.291790,599616438952514732,2883
0.123077,1775665503.291790,599616438952514732,-12288
0.130769,1775665503.291790,599616438952514732,10
0.138461,1775665503.291790,599616438952514732,2680
0.146154,1775665503.291790,599616438952514732,-6912
0.153846,1775665503.291790,599616438952514732,9
0.161538,1775665503.291790,599616438952514732,2387
0.169231,1775665503.291790,599616438952514732,-1536
0.176923,1775665503.291790,599616438952514732,8
0.184615,1775665503.291790,599616438952514732,2210
0.192308,1775665503.291790,599616438952514732,18944
0.200000,1775665503.291790,599616438952514732,8
0.207692,1775665503.291790,599616438952514732,2027
0.215385,1775665503.291790,599616438952514732,28416
0.223077,1775665503.291790,599616438952514732,7
0.230769,1775665503.291790,599616438952514732,1804
0.238461,1775665503.291790,599616438952514732,-15360
0.246154,1775665503.291790,599616438952514732,6
0.253846,1775665503.291790,599616438952514732,1635
0.261538,1775665503.291790,599616438952514732,-2048
0.269231,1775665503.291790,599616438952514732,5
0.276923,1775665503.291790,599616438952514732,1456
0.284615,1775665503.291790,599616438952514732,-9984
0.292308,1775665503.291790,599616438952514732,5
0.300000,1775665503.291790,599616438952514732,1723
0.307692,1775665503.291790,599616438952514732,12800
0.315385,1775665503.291790,599616438952514732,7
0.323077,1775665503.291790,599616438952514732,1391
0.330769,1775665503.291790,599616438952514732,-27904
0.338462,1775665503.291790,599616438952514732,2
0.346154,1775665503.291790,599616438952514732,465
0.353846,1775665503.291790,599616438952514732,-3584
0.361538,1775665503.291790,599616438952514732,2
0.369231,1775665503.291790,599616438952514732,824
0.376923,1775665503.291790,599616438952514732,-28416
0.384615,1775665503.291790,599616438952514732,2
0.392308,1775665503.291790,599616438952514732,607
0.400000,1775665503.291790,599616438952514732,19200
0.407692,1775665503.291790,599616438952514732,2
0.415385,1775665503.291790,599616438952514732,492
0.423077,1775665503.291790,599616438952514732,-20736
0.430769,1775665503.291790,599616438952514732,1
0.438462,1775665503.291790,599616438952514732,411
0.446154,1775665503.291790,599616438952514732,25088
0.453846,1775665503.291790,599616438952514732,1
0.461538,1775665503.291790,599616438952514732,293
0.469231,1775665503.291790,599616438952514732,-2560
0.476923,1775665503.291790,599616438952514732,0
0.484615,1775665503.291790,599616438952514732,194
0.492308,1775665503.291790,599616438952514732,-29184
0.500000,1775665503.291790,599616438952514732,0
0.507692,1775665503.291790,599616438952514732,97
0.515385,1775665503.291790,599616438952514732,11520
0.523077,1775665503.291790,599616438952514732,0
0.530769,1775665503.291790,599616438952514732,-11
0.538461,1775665503.291790,599616438952514732,-15105
0.546154,1775665503.291790,599616438952514732,-1
0.553846,1775665503.291790,599616438952514732,-103
0.561538,1775665503.291790,599616438952514732,28927
0.569231,1775665503.291790,599616438952514732,-1
0.576923,1775665503.291790,599616438952514732,-176
0.584615,1775665503.291790,599616438952514732,13823
0.592308,1775665503.291790,599616438952514732,-1
0.600000,1775665503.291790,599616438952514732,-228
0.607692,1775665503.291790,599616438952514732,1279
0.615385,1775665503.291790,599616438952514732,-1
0.623077,1775665503.291790,599616438952514732,-264
0.630769,1775665503.291790,599616438952514732,-5889
0.638461,1775665503.291790,599616438952514732,-2
0.646154,1775665503.291790,599616438952514732,-309
0.653846,1775665503.291790,599616438952514732,-18433
0.661538,1775665503.291790,599616438952514732,-2
0.669231,1775665503.291790,599616438952514732,-354
0.676923,1775665503.291790,599616438952514732,27903
0.684615,1775665503.291790,599616438952514732,-2
0.692308,1775665503.291790,599616438952514732,-451
0.700000,1775665503.291790,599616438952514732,10751
0.707692,1775665503.291790,599616438952514732,-2
0.715385,1775665503.291790,599616438952514732,-512
0.723077,1775665503.291790,599616438952514732,-21761
0.730769,1775665503.291790,599616438952514732,-3
0.738461,1775665503.291790,599616438952514732,-691
0.746154,1775665503.291790,599616438952514732,3327
0.753846,1775665503.291790,599616438952514732,-3
0.761538,1775665503.291790,599616438952514732,-776
0.769231,1775665503.291790,599616438952514732,-7681
0.776923,1775665503.291790,599616438952514732,-4
0.784615,1775665503.291790,599616438952514732,-858
0.792308,1775665503.291790,599616438952514732,31743
0.800000,1775665503.291790,599616438952514732,-4
0.807692,1775665503.291790,599616438952514732,-914
0.815385,1775665503.291790,599616438952514732,23295
0.823077,1775665503.291790,599616438952514732,-4
0.830769,1775665503.291790,599616438952514732,-943
0.561658,1775665503.874818,599616439514173090,-934
0.569351,1775665503.874818,599616439514173090,20991
0.577043,1775665503.874818,599616439514173090,-4
0.584735,1775665503.874818,599616439514173090,-968
0.592428,1775665503.874818,599616439514173090,12287
0.600120,1775665503.874818,599616439514173090,-4
0.607812,1775665503.874818,599616439514173090,-982
0.615505,1775665503.874818,599616439514173090,7679
0.623197,1775665503.874818,599616439514173090,-4
0.630889,1775665503.874818,599616439514173090,-1009
0.638581,1775665503.874818,599616439514173090,-513
0.646274,1775665503.874818,599616439514173090,-5
0.653966,1775665503.874818,599616439514173090,-1081
0.661658,1775665503.874818,599616439514173090,-30465
0.669351,1775665503.874818,599616439514173090,-5
0.677043,1775665503.874818,599616439514173090,-1117
0.684735,1775665503.874818,599616439514173090,-1793
0.692428,1775665503.874818,599616439514173090,-5
0.700120,1775665503.874818,599616439514173090,-1013
0.707812,1775665503.874818,599616439514173090,-2305
0.715505,1775665503.874818,599616439514173090,-5
0.723197,1775665503.874818,599616439514173090,-1032
0.730889,1775665503.874818,599616439514173090,-2817
0.738581,1775665503.874818,599616439514173090,-5
0.746274,1775665503.874818,599616439514173090,-1045
0.753966,1775665503.874818,599616439514173090,-4609
0.761658,1775665503.874818,599616439514173090,-5
0.769351,1775665503.874818,599616439514173090,-1052
0.777043,1775665503.874818,599616439514173090,-12545
0.784735,1775665503.874818,599616439514173090,-5
0.792428,1775665503.874818,599616439514173090,-1099
0.800120,1775665503.874818,599616439514173090,-24321
0.807812,1775665503.874818,599616439514173090,-5
0.815504,1775665503.874818,599616439514173090,-1124
0.823197,1775665503.874818,599616439514173090,-27137
0.830889,1775665503.874818,599616439514173090,-5
0.838581,1775665503.874818,599616439514173090,-1149
0.846274,1775665503.874818,599616439514173090,27903
0.853966,1775665503.874818,599616439514173090,-5
0.861658,1775665503.874818,599616439514173090,-1199
0.869351,1775665503.874818,599616439514173090,17663
0.877043,1775665503.874818,599616439514173090,-5
0.884735,1775665503.874818,599616439514173090,-1214
0.892428,1775665503.874818,599616439514173090,14079
0.900120,1775665503.874818,599616439514173090,-5
0.907812,1775665503.874818,599616439514173090,-1242
0.915504,1775665503.874818,599616439514173090,3839
0.923197,1775665503.874818,599616439514173090,-5
0.930889,1775665503.874818,599616439514173090,-1321
0.938581,1775665503.874818,599616439514173090,-14849
0.946274,1775665503.874818,599616439514173090,-6
0.953966,1775665503.874818,599616439514173090,-1291
0.961658,1775665503.874818,599616439514173090,3071
0.969351,1775665503.874818,599616439514173090,-5
0.977043,1775665503.874818,599616439514173090,-1284
0.984735,1775665503.874818,599616439514173090,-3329
0.992428,1775665503.874818,599616439514173090,-6
1.000120,1775665503.874818,599616439514173090,-1309
1.007812,1775665503.874818,599616439514173090,-10753
1.015504,1775665503.874818,599616439514173090,-6
1.023197,1775665503.874818,599616439514173090,-1327
1.030889,1775665503.874818,599616439514173090,-10241
1.038581,1775665503.874818,599616439514173090,-6
1.046274,1775665503.874818,599616439514173090,-1307
1.053966,1775665503.874818,599616439514173090,-9473
1.061658,1775665503.874818,599616439514173090,-6
1.069351,1775665503.874818,599616439514173090,-1343
1.077043,1775665503.874818,599616439514173090,-13057
1.084735,1775665503.874818,599616439514173090,-6
1.092428,1775665503.874818,599616439514173090,-1312
