time,t_wall,t_device_ns,ecg
0.000000,1775806268.289205,599619408963262552,-1350
0.007692,1775806268.289205,599619408963262552,-1491
0.015385,1775806268.289205,599619408963262552,-1622
0.023077,1775806268.289205,599619408963262552,-1750
0.030769,1775806268.289205,599619408963262552,-1874
0.038461,1775806268.289205,599619408963262552,-2013
0.046154,1775806268.289205,599619408963262552,-2139
0.053846,1775806268.289205,599619408963262552,-2238
0.061538,1775806268.289205,599619408963262552,-2358
0.069231,1775806268.289205,599619408963262552,-2486
0.076923,1775806268.289205,599619408963262552,-2587
0.084615,1775806268.289205,599619408963262552,-2706
0.092308,1775806268.289205,599619408963262552,-2848
0.100000,1775806268.289205,599619408963262552,-2929
0.107692,1775806268.289205,599619408963262552,-2999
0.115385,1775806268.289205,599619408963262552,-3132
0.123077,1775806268.289205,599619408963262552,-3271
0.130769,1775806268.289205,599619408963262552,-3444
0.138461,1775806268.289205,599619408963262552,-3652
0.146154,1775806268.289205,599619408963262552,-3757
0.153846,1775806268.289205,599619408963262552,-3847
0.161538,1775806268.289205,599619408963262552,-4005
0.169231,1775806268.289205,599619408963262552,-4115
0.176923,1775806268.289205,599619408963262552,-4201
0.184615,1775806268.289205,599619408963262552,-4315
0.192308,1775806268.289205,599619408963262552,-4394
0.200000,1775806268.289205,599619408963262552,-4462
0.207692,1775806268.289205,599619408963262552,-4547
0.215385,1775806268.289205,599619408963262552,-4606
0.223077,1775806268.289205,599619408963262552,-4675
0.230769,1775806268.289205,599619408963262552,-4752
0.238461,1775806268.289205,599619408963262552,-4786
0.246154,1775806268.289205,599619408963262552,-4849
0.253846,1775806268.289205,599619408963262552,-4977
0.261538,1775806268.289205,599619408963262552,-5071
0.269231,1775806268.289205,599619408963262552,-5137
0.276923,1775806268.289205,599619408963262552,-5150
0.284615,1775806268.289205,599619408963262552,-5047
0.292308,1775806268.289205,599619408963262552,-5029
0.300000,1775806268.289205,599619408963262552,-5121
0.307692,1775806268.289205,599619408963262552,-5139
0.315385,1775806268.289205,599619408963262552,-5157
0.323077,1775806268.289205,599619408963262552,-5200
0.330769,1775806268.289205,599619408963262552,-5202
0.338462,1775806268.289205,599619408963262552,-5231
0.346154,1775806268.289205,599619408963262552,-5287
0.353846,1775806268.289205,599619408963262552,-5303
0.361538,1775806268.289205,599619408963262552,-5330
0.369231,1775806268.289205,599619408963262552,-5357
0.376923,1775806268.289205,599619408963262552,-5350
0.384615,1775806268.289205,599619408963262552,-5386
0.392308,1775806268.289205,599619408963262552,-5431
0.400000,1775806268.289205,599619408963262552,-5440
0.407692,1775806268.289205,599619408963262552,-5461
0.415385,1775806268.289205,599619408963262552,-5467
0.423077,1775806268.289205,599619408963262552,-5454
0.430769,1775806268.289205,599619408963262552,-5490
0.438462,1775806268.289205,599619408963262552,-5519
0.446154,1775806268.289205,599619408963262552,-5551
0.453846,1775806268.289205,599619408963262552,-5609
0.461538,1775806268.289205,599619408963262552,-5533
0.469231,1775806268.289205,599619408963262552,-5416
0.476923,1775806268.289205,599619408963262552,-5449
0.484615,1775806268.289205,599619408963262552,-5510
0.492308,1775806268.289205,599619408963262552,-5569
0.500000,1775806268.289205,599619408963262552,-5647
0.507692,1775806268.289205,599619408963262552,-5564
0.515385,1775806268.289205,599619408963262552,-5391
0.523077,1775806268.289205,599619408963262552,-5371
0.530769,1775806268.289205,599619408963262552,-5411
0.538461,1775806268.289205,599619408963262552,-5407
0.546154,1775806268.289205,599619408963262552,-5389
0.553846,1775806268.289205,599619408963262552,-5314
0.561602,1775806268.871257,599619409524864960,-5254
0.569295,1775806268.871257,599619409524864960,-5278
0.576987,1775806268.871257,599619409524864960,-5292
0.584679,1775806268.871257,599619409524864960,-5269
0.592372,1775806268.871257,599619409524864960,-5249
0.600064,1775806268.871257,599619409524864960,-5245
0.607756,1775806268.871257,599619409524864960,-5263
0.615449,1775806268.871257,599619409524864960,-5256
0.623141,1775806268.871257,599619409524864960,-5281
0.630833,1775806268.871257,599619409524864960,-5416
0.638525,1775806268.871257,599619409524864960,-5319
0.646218,1775806268.871257,599619409524864960,-4959
0.653910,1775806268.871257,599619409524864960,-4887
0.661602,1775806268.871257,599619409524864960,-5017
0.669295,1775806268.871257,599619409524864960,-4981
0.676987,1775806268.871257,599619409524864960,-4903
0.684679,1775806268.871257,599619409524864960,-4887
0.692372,1775806268.871257,599619409524864960,-4858
0.700064,1775806268.871257,599619409524864960,-4828
0.707756,1775806268.871257,599619409524864960,-4840
0.715449,1775806268.871257,599619409524864960,-4853
0.723141,1775806268.871257,599619409524864960,-4822
0.730833,1775806268.871257,599619409524864960,-4763
0.738526,1775806268.871257,599619409524864960,-4732
0.746218,1775806268.871257,599619409524864960,-4754
0.753910,1775806268.871257,599619409524864960,-4786
0.761602,1775806268.871257,599619409524864960,-4741
0.769295,1775806268.871257,599619409524864960,-4657
0.776987,1775806268.871257,599619409524864960,-4612
0.784679,1775806268.871257,599619409524864960,-4592
0.792372,1775806268.871257,599619409524864960,-4554
0.800064,1775806268.871257,599619409524864960,-4520
0.807756,1775806268.871257,599619409524864960,-4466
0.815449,1775806268.871257,599619409524864960,-4156
0.823141,1775806268.871257,599619409524864960,-3724
0.830833,1775806268.871257,599619409524864960,-3935
0.838526,1775806268.871257,599619409524864960,-4709
0.846218,1775806268.871257,599619409524864960,-4975
0.853910,1775806268.871257,599619409524864960,-4570
0.861602,1775806268.871257,599619409524864960,-4282
0.869295,1775806268.871257,599619409524864960,-4295
0.876987,1775806268.871257,599619409524864960,-4273
0.884679,1775806268.871257,599619409524864960,-4216
0.892372,1775806268.871257,599619409524864960,-4239
0.900064,1775806268.871257,599619409524864960,-4257
0.907756,1775806268.871257,599619409524864960,-4196
0.915449,1775806268.871257,599619409524864960,-4135
0.923141,1775806268.871257,599619409524864960,-4122
0.930833,1775806268.871257,599619409524864960,-4104
0.938526,1775806268.871257,599619409524864960,-4095
0.946218,1775806268.871257,599619409524864960,-4104
0.953910,1775806268.871257,599619409524864960,-4066
0.961602,1775806268.871257,599619409524864960,-4003
0.969295,1775806268.871257,599619409524864960,-3964
0.976987,1775806268.871257,599619409524864960,-3935
0.984679,1775806268.871257,599619409524864960,-3919
0.992372,1775806268.871257,599619409524864960,-3922
1.000064,1775806268.871257,599619409524864960,-3935
1.007756,1775806268.871257,599619409524864960,-3910
1.015449,1775806268.871257,599619409524864960,-3800
1.023141,1775806268.871257,599619409524864960,-3688
1.030833,1775806268.871257,599619409524864960,-3719
1.038525,1775806268.871257,599619409524864960,-3755
1.046218,1775806268.871257,599619409524864960,-3586
1.053910,1775806268.871257,599619409524864960,-3417
1.061602,1775806268.871257,599619409524864960,-3413
1.069295,1775806268.871257,599619409524864960,-3404
1.076987,1775806268.871257,599619409524864960,-3372
1.084679,1775806268.871257,599619409524864960,-3377
1.092372,1775806268.871257,599619409524864960,-3363
1.100064,1775806268.871257,599619409524864960,-3352
1.107756,1775806268.871257,599619409524864960,-3393
1.115449,1775806268.871257,599619409524864960,-3447
1.123245,1775806269.411283,599619410086508060,-3505
1.130938,1775806269.411283,599619410086508060,-3550
1.138630,1775806269.411283,599619410086508060,-3532
1.146322,1775806269.411283,599619410086508060,-3501
1.154015,1775806269.411283,599619410086508060,-3496
1.161707,1775806269.411283,599619410086508060,-3512
1.169399,1775806269.411283,599619410086508060,-3575
1.177092,1775806269.411283,599619410086508060,-3573
1.184784,1775806269.411283,599619410086508060,-3422
1.192476,1775806269.411283,599619410086508060,-3345
1.200168,1775806269.411283,599619410086508060,-3370
1.207861,1775806269.411283,599619410086508060,-3366
1.215553,1775806269.411283,599619410086508060,-3402
1.223246,1775806269.411283,599619410086508060,-3388
1.230938,1775806269.411283,599619410086508060,-3242
1.238630,1775806269.411283,599619410086508060,-3186
1.246322,1775806269.411283,599619410086508060,-3226
1.254015,1775806269.411283,599619410086508060,-3177
1.261707,1775806269.411283,599619410086508060,-3123
1.269399,1775806269.411283,599619410086508060,-3107
1.277092,1775806269.411283,599619410086508060,-3048
1.284784,1775806269.411283,599619410086508060,-2997
1.292476,1775806269.411283,599619410086508060,-2988
1.300169,1775806269.411283,599619410086508060,-2983
1.307861,1775806269.411283,599619410086508060,-2988
1.315553,1775806269.411283,599619410086508060,-2965
1.323245,1775806269.411283,599619410086508060,-2904
1.330938,1775806269.411283,599619410086508060,-2875
1.338630,1775806269.411283,599619410086508060,-2877
1.346322,1775806269.411283,599619410086508060,-2904
1.354015,1775806269.411283,599619410086508060,-2938
1.361707,1775806269.411283,599619410086508060,-2864
1.369399,1775806269.411283,599619410086508060,-2751
1.377092,1775806269.411283,599619410086508060,-2756
1.384784,1775806269.411283,599619410086508060,-2778
1.392476,1775806269.411283,599619410086508060,-2740
1.400169,1775806269.411283,599619410086508060,-2713
1.407861,1775806269.411283,599619410086508060,-2686
1.415553,1775806269.411283,599619410086508060,-2634
1.423245,1775806269.411283,599619410086508060,-2607
1.430938,1775806269.411283,599619410086508060,-2603
1.438630,1775806269.411283,599619410086508060,-2589
1.446322,1775806269.411283,599619410086508060,-2574
1.454015,1775806269.411283,599619410086508060,-2544
1.461707,1775806269.411283,599619410086508060,-2506
1.469399,1775806269.411283,599619410086508060,-2488
1.477092,1775806269.411283,599619410086508060,-2481
1.484784,1775806269.411283,599619410086508060,-2488
1.492476,1775806269.411283,599619410086508060,-2513
1.500169,1775806269.411283,599619410086508060,-2490
1.507861,1775806269.411283,599619410086508060,-2445
1.515553,1775806269.411283,599619410086508060,-2443
1.523245,1775806269.411283,599619410086508060,-2423
1.530938,1775806269.411283,599619410086508060,-2385
1.538630,1775806269.411283,599619410086508060,-2344
1.546322,1775806269.411283,599619410086508060,-2265
1.554015,1775806269.411283,599619410086508060,-2205
1.561707,1775806269.411283,599619410086508060,-2193
1.569399,1775806269.411283,599619410086508060,-2178
1.577092,1775806269.411283,599619410086508060,-2151
