time,t_wall,t_device_ns,ecg
0.000000,1776080966.647898,599616059335267464,-182
0.007692,1776080966.647898,599616059335267464,249
0.015385,1776080966.647898,599616059335267464,1721
0.023077,1776080966.647898,599616059335267464,3288
0.030769,1776080966.647898,599616059335267464,3361
0.038461,1776080966.647898,599616059335267464,3011
0.046154,1776080966.647898,599616059335267464,3270
0.053846,1776080966.647898,599616059335267464,3272
0.061538,1776080966.647898,599616059335267464,3098
0.069231,1776080966.647898,599616059335267464,3334
0.076923,1776080966.647898,599616059335267464,3306
0.084615,1776080966.647898,599616059335267464,2991
0.092308,1776080966.647898,599616059335267464,3126
0.100000,1776080966.647898,599616059335267464,3247
0.107692,1776080966.647898,599616059335267464,3089
0.115385,1776080966.647898,599616059335267464,3059
0.123077,1776080966.647898,599616059335267464,3075
0.130769,1776080966.647898,599616059335267464,3007
0.138461,1776080966.647898,599616059335267464,2972
0.146154,1776080966.647898,599616059335267464,2970
0.153846,1776080966.647898,599616059335267464,2949
0.161538,1776080966.647898,599616059335267464,2954
0.169231,1776080966.647898,599616059335267464,2943
0.176923,1776080966.647898,599616059335267464,2856
0.184615,1776080966.647898,599616059335267464,2808
0.192308,1776080966.647898,599616059335267464,2853
0.200000,1776080966.647898,599616059335267464,2856
0.207692,1776080966.647898,599616059335267464,2757
0.215385,1776080966.647898,599616059335267464,2675
0.223077,1776080966.647898,599616059335267464,2682
0.230769,1776080966.647898,599616059335267464,2723
0.238461,1776080966.647898,599616059335267464,2675
0.246154,1776080966.647898,599616059335267464,2558
0.253846,1776080966.647898,599616059335267464,2515
0.261538,1776080966.647898,599616059335267464,2508
0.269231,1776080966.647898,599616059335267464,2472
0.276923,1776080966.647898,599616059335267464,2451
0.284615,1776080966.647898,599616059335267464,2453
0.292308,1776080966.647898,599616059335267464,2435
0.300000,1776080966.647898,599616059335267464,2405
0.307692,1776080966.647898,599616059335267464,2385
0.315385,1776080966.647898,599616059335267464,2364
0.323077,1776080966.647898,599616059335267464,2357
