timestamp,hr
1775138778.256538,70
1775138779.2013922,70
1775138780.2815297,69
1775138781.2264256,69
1775138782.2165296,69
1775138783.2065597,69
1775138784.1964183,69
1775138785.2314868,70
1775138786.2214868,70
1775138787.2114053,71
1775138788.2014825,72
1775138789.2363932,72
1775138790.2264237,71
1775138791.2163937,69
1775138792.2064621,69
1775138793.1964006,68
1775138794.2324138,68
1775138795.2214036,68
1775138796.2115026,69
1775138797.2014086,69
1775138798.2365007,69
1775138799.2264867,69
1775138800.2163868,69
1775138801.2065415,69
1775138802.196559,69
1775138803.2763822,69
1775138804.266383,69
1775138805.2220883,70
1775138806.2084224,70
1775138807.1984167,70
1775138808.6835656,70
1775138809.6734188,70
1775138810.6643856,69
1775138811.6534202,69
1775138812.64341,69
1775138813.633406,69
1775138814.6234105,69
1775138815.6133611,69
1775138817.5933888,70
1775138817.5944047,70
1775138818.5833595,70
1775138819.5733902,70
1775138820.56336,69
1775138821.5534046,70
1775138822.5434718,70
1775138823.5333571,70
1775138824.5233696,70
1775138825.5134225,70
1775138826.5033722,70
1775138827.4948564,70
1775138828.4834578,70
1775138829.4744966,70
1775138830.4644566,70
1775138831.4547837,70
1775138832.4433923,70
1775138833.4333768,70
1775138834.4244645,71
1775138835.4144862,71
1775138836.404778,70
1775138837.3947694,70
1775138838.3844688,70
1775138839.3747797,70
1775138840.36448,70
1775138841.3548458,70
1775138843.334447,70
1775138843.3352234,70
1775138844.3234663,70
1775138845.3144772,70
1775138846.304393,69
1775138847.2943683,69
1775138848.2844493,69
1775138849.2744138,69
1775138851.2534323,70
1775138851.2541883,70
1775138853.2334573,70
1775138853.2342193,70
1775138854.224397,69
1775138855.2143853,69
1775138856.2043667,69
1775138857.1943774,69
1775138858.6793768,69
1775138859.66939,70
1775138860.6593843,70
1775138861.6493828,70
1775138862.6395526,70
1775138863.6297665,70
1775138864.6194177,70
1775138865.6093953,69
1775138866.5993712,69
1775138867.5893898,71
1775138869.5683808,72
1775138869.5691516,77
1775138870.5593867,80
1775138871.549395,82
1775138872.5396132,85
1775138873.5293999,88
1775138874.5184073,92
1775138875.5093982,94
1775138876.499371,98
1775138877.4887161,101
1775138878.4784887,105
1775138879.4683964,108
1775138880.4584017,111
1775138881.4493895,114
1775138882.4384189,116
1775138883.4284298,119
1775138884.4194152,121
1775138885.4084017,124
1775138886.3993785,126
1775138887.3883846,127
1775138888.3784075,129
1775138889.3684132,130
1775138890.3584154,131
1775138891.3484044,131
1775138892.3384118,132
1775138894.3183992,132
1775138894.3191495,132
1775138895.3094094,132
1775138896.2994602,132
1775138897.2894082,132
