time,t_wall,t_device_ns,x,y,z
0.000000,1775669477.683285,599616027776812180,-415,502,-845
0.005000,1775669477.683285,599616027776812180,-413,504,-840
0.010000,1775669477.683285,599616027776812180,-408,503,-834
0.015000,1775669477.683285,599616027776812180,-399,507,-833
0.020000,1775669477.683285,599616027776812180,-389,505,-839
0.025000,1775669477.683285,599616027776812180,-389,500,-835
0.030000,1775669477.683285,599616027776812180,-390,500,-833
0.035000,1775669477.683285,599616027776812180,-389,500,-834
0.040000,1775669477.683285,599616027776812180,-387,503,-846
0.045000,1775669477.683285,599616027776812180,-402,504,-844
0.050000,1775669477.683285,599616027776812180,-396,495,-793
0.055000,1775669477.683285,599616027776812180,-379,510,-827
0.060000,1775669477.683285,599616027776812180,-379,532,-842
0.065000,1775669477.683285,599616027776812180,-390,522,-839
0.070000,1775669477.683285,599616027776812180,-392,504,-841
0.075000,1775669477.683285,599616027776812180,-397,494,-843
0.080000,1775669477.683285,599616027776812180,-398,495,-842
0.085000,1775669477.683285,599616027776812180,-398,496,-847
0.090000,1775669477.683285,599616027776812180,-395,495,-841
0.095000,1775669477.683285,599616027776812180,-396,500,-840
0.100000,1775669477.683285,599616027776812180,-397,500,-838
0.105000,1775669477.683285,599616027776812180,-391,500,-842
0.110000,1775669477.683285,599616027776812180,-395,495,-842
0.115000,1775669477.683285,599616027776812180,-391,495,-845
0.120000,1775669477.683285,599616027776812180,-399,497,-844
0.125000,1775669477.683285,599616027776812180,-403,499,-842
0.130000,1775669477.683285,599616027776812180,-404,500,-841
0.135000,1775669477.683285,599616027776812180,-407,505,-843
0.140000,1775669477.683285,599616027776812180,-404,505,-841
0.145000,1775669477.683285,599616027776812180,-396,503,-836
0.150000,1775669477.683285,599616027776812180,-387,497,-839
0.155000,1775669477.683285,599616027776812180,-391,499,-841
0.160000,1775669477.683285,599616027776812180,-392,497,-840
0.165000,1775669477.683285,599616027776812180,-386,497,-838
0.170000,1775669477.683285,599616027776812180,-390,499,-838
0.175000,1775669477.683285,599616027776812180,-388,499,-840
0.176211,1775669477.864974,599616027953023132,-389,499,-838
0.181211,1775669477.864974,599616027953023132,-390,499,-844
0.186211,1775669477.864974,599616027953023132,-393,496,-844
0.191211,1775669477.864974,599616027953023132,-391,497,-845
0.196211,1775669477.864974,599616027953023132,-394,495,-845
0.201211,1775669477.864974,599616027953023132,-399,494,-844
0.206211,1775669477.864974,599616027953023132,-405,493,-844
0.211211,1775669477.864974,599616027953023132,-405,494,-844
0.216211,1775669477.864974,599616027953023132,-408,498,-843
0.221211,1775669477.864974,599616027953023132,-408,502,-840
0.226211,1775669477.864974,599616027953023132,-406,504,-833
0.231211,1775669477.864974,599616027953023132,-396,508,-830
0.236211,1775669477.864974,599616027953023132,-394,503,-826
0.241211,1775669477.864974,599616027953023132,-399,503,-827
0.246211,1775669477.864974,599616027953023132,-405,499,-833
0.251211,1775669477.864974,599616027953023132,-404,496,-834
0.256211,1775669477.864974,599616027953023132,-407,495,-839
0.261211,1775669477.864974,599616027953023132,-406,497,-845
0.266211,1775669477.864974,599616027953023132,-398,498,-846
0.271211,1775669477.864974,599616027953023132,-394,497,-848
0.276211,1775669477.864974,599616027953023132,-392,497,-847
0.281211,1775669477.864974,599616027953023132,-398,499,-840
0.286211,1775669477.864974,599616027953023132,-400,500,-836
0.291211,1775669477.864974,599616027953023132,-404,501,-830
0.296211,1775669477.864974,599616027953023132,-407,502,-830
0.301211,1775669477.864974,599616027953023132,-413,502,-835
0.306211,1775669477.864974,599616027953023132,-412,502,-838
0.311211,1775669477.864974,599616027953023132,-412,498,-838
0.316211,1775669477.864974,599616027953023132,-410,497,-841
0.321211,1775669477.864974,599616027953023132,-404,499,-837
0.326211,1775669477.864974,599616027953023132,-397,500,-836
0.331211,1775669477.864974,599616027953023132,-386,502,-835
0.336211,1775669477.864974,599616027953023132,-384,504,-833
0.341211,1775669477.864974,599616027953023132,-386,501,-839
0.346211,1775669477.864974,599616027953023132,-378,499,-841
0.351211,1775669477.864974,599616027953023132,-376,501,-846
0.352391,1775669478.042340,599616028129203536,-377,500,-853
0.357391,1775669478.042340,599616028129203536,-380,499,-849
0.362391,1775669478.042340,599616028129203536,-387,498,-845
0.367391,1775669478.042340,599616028129203536,-391,500,-845
0.372391,1775669478.042340,599616028129203536,-395,499,-842
0.377391,1775669478.042340,599616028129203536,-405,496,-843
0.382391,1775669478.042340,599616028129203536,-409,496,-836
0.387391,1775669478.042340,599616028129203536,-413,499,-836
0.392391,1775669478.042340,599616028129203536,-413,500,-835
0.397391,1775669478.042340,599616028129203536,-411,496,-837
0.402391,1775669478.042340,599616028129203536,-409,496,-840
0.407391,1775669478.042340,599616028129203536,-397,496,-844
0.412391,1775669478.042340,599616028129203536,-381,498,-843
0.417391,1775669478.042340,599616028129203536,-376,496,-834
0.422391,1775669478.042340,599616028129203536,-366,493,-828
0.427391,1775669478.042340,599616028129203536,-346,500,-827
0.432391,1775669478.042340,599616028129203536,-338,539,-841
0.437391,1775669478.042340,599616028129203536,-364,537,-891
0.442391,1775669478.042340,599616028129203536,-390,491,-850
0.447391,1775669478.042340,599616028129203536,-366,493,-835
0.452391,1775669478.042340,599616028129203536,-391,497,-847
0.457391,1775669478.042340,599616028129203536,-406,494,-859
0.462391,1775669478.042340,599616028129203536,-416,489,-844
0.467391,1775669478.042340,599616028129203536,-420,492,-837
0.472391,1775669478.042340,599616028129203536,-415,495,-839
0.477391,1775669478.042340,599616028129203536,-410,500,-837
0.482391,1775669478.042340,599616028129203536,-392,510,-839
0.487391,1775669478.042340,599616028129203536,-373,508,-838
0.492391,1775669478.042340,599616028129203536,-359,510,-838
0.497391,1775669478.042340,599616028129203536,-358,506,-841
0.502391,1775669478.042340,599616028129203536,-365,498,-841
